LastSeen,IP,UID,Name,SW,Vdd,CpuTemp,AccTemp,WakeUp,AccDataX,AccDataY,AccDataZ
14/08/2016 04:02:31,62.149.145.20,0041001D-4D335719-20303038,cucina,0.8,2930,26,18,TIME,0.00,-1.38.00,0.00
14/08/2016 01:29:22,62.149.145.23,00080003-4D335719-20303038,camera_max,0.7,3056,25,255,TIME,0.00,-1.05.00,0.00
14/08/2016 00:59:57,62.149.145.19,00440005-4D335719-20303038,corridoio,0.7,3053,25,255,TIME,0.00,-1.02.00,0.00
14/08/2016 00:14:02,62.149.145.21,00228019-4D335719-20303038,camera_manu,0.7,3055,24,255,TIME,0.00,-1.02.00,0.00
14/08/2016 00:08:48,62.149.145.21,00310015-4D335719-20303038,sala_big,0.7,3056,26,255,TIME,0.00,-1.38.00,0.00
14/08/2016 00:01:38,62.149.145.21,0008800D-4D335719-20303038,bagno,0.7,3057,28,255,TIME,0.00,-1.38.00,0.00
13/08/2016 23:37:19,62.149.145.24,0010800B-4D335719-20303038,sala_small,0.8,2941,25,18,TIME,0.00,-1.38.00,0.00
13/08/2016 23:32:43,62.149.145.24,0007800C-4D335719-20303038,studiolo,0.8,2893,26,17,TIME,0.00,-1.01.00,0.00
13/08/2016 23:02:09,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2908,29,22,TIME,0.00,-1.38.00,0.00
13/08/2016 20:26:47,62.149.145.23,00080003-4D335719-20303038,camera_max,0.7,3059,29,255,TIME,0.00,-1.04.00,0.00
13/08/2016 20:00:10,62.149.145.20,00440005-4D335719-20303038,corridoio,0.7,3057,30,255,TIME,0.00,-1.02.00,0.00
13/08/2016 19:14:36,62.149.145.22,00228019-4D335719-20303038,camera_manu,0.7,3057,30,255,TIME,0.00,-1.02.00,0.00
13/08/2016 19:07:13,62.149.145.22,00310015-4D335719-20303038,sala_big,0.7,3053,30,255,TIME,0.00,-1.38.00,0.00
